brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
WROGN,Men Pink & White Striped Polo Collar Slim Fit Pure Cotton T-shirt,"3.6
|
34 Ratings",34 Ratings,MRP ₹1599,₹639,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17457598/2022/3/10/486349d9-f087-4953-8196-057152ee2d1b1646894053433WROGNMenPinkStripedPoloCollarSlimFitT-shirt1.jpg"");"
WROGN,Self Design Round-Neck Casual T-shirt,Nil,Nil,MRP ₹999,₹579,(42% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26315158/2023/12/18/ad51ec88-88e7-4dd1-929c-5b4f6b2767831702872800944-WROGN-Men-Tshirts-7401702872800647-5.jpg"");"
WROGN,Polo Collar Slim Fit T-shirt,"3.3
|
8 Ratings",8 Ratings,MRP ₹1799,₹719,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23429934/2023/5/26/f20e4da5-0992-4e02-ae05-7ca7f6087d1e1685111906804WROGNMenGreenPoloCollarAppliqueSlimFitT-shirt1.jpg"");"
WROGN,Solid Polo Collar Slim Fit Casual T-shirt,"4.7
|
11 Ratings",11 Ratings,MRP ₹1399,₹769,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23770370/2023/9/21/df51ff56-fce7-4869-9b36-bb1ae5110aa91695269496570-WROGN-Men-Tshirts-2241695269496133-1.jpg"");"
WROGN,Men Brand Logo Printed & Colourblocked Slim Fit T-shirt,Nil,Nil,MRP ₹1399,₹671,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25537950/2023/12/7/38023f56-1bf2-4b58-9f5d-605ddc25438c1701946195931-WROGN-Men-Tshirts-2321701946195565-1.jpg"");"
WROGN,Men Blue Brand Logo Printed Sleevless T-shirt,"4.4
|
50 Ratings",50 Ratings,MRP ₹799,₹319,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17064302/2022/7/26/1dba15f1-d402-4f6e-be29-0e8a7bdeeb2c1658827729687-WROGN-Men-Tshirts-4421658827729282-1.jpg"");"
WROGN,Polo Collar Cotton T-shirt,"3.6
|
10 Ratings",10 Ratings,MRP ₹1499,₹749,(50% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24830406/2023/9/6/97d49667-61b1-4fb8-bbd8-bf4c94e82f601693967639680WROGNMenWhitePoloCollarAppliqueT-shirt1.jpg"");"
WROGN,Polo Collar Slim Fit Casual T-shirt,"4.2
|
13 Ratings",13 Ratings,MRP ₹1599,₹767,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23770262/2023/7/24/ada70824-35ac-4694-ba95-b1abf4b5f65e1690193015223-WROGN-Men-Tshirts-3821690193014857-1.jpg"");"
WROGN,Men Pure Cotton T-shirt,Nil,Nil,MRP ₹1199,₹575,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826562/2023/12/21/f9a867a3-403b-4fbb-9289-868875f1120a1703160859999-WROGN-Men-Shirts-6691703160859764-1.jpg"");"
WROGN,Men Typography Printed T-shirt,Nil,Nil,MRP ₹799,₹359,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26531132/2024/1/8/712d2a15-fd0c-4305-a4bf-d31f87ec55b11704698915872-WROGN-Men-Tshirts-4561704698915500-1.jpg"");"
