brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
HRX by Hrithik Roshan,Men Black Training Printed Rapid-Dry Antimicrobial T-shirt,"4.4
|
61 Ratings",61 Ratings,MRP ₹1099,₹593,(46% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16938256/2022/10/12/25c42526-0fbb-4274-9e04-94be818daa251665559004246-HRX-by-Hrithik-Roshan-Men-Tshirts-9171665559003738-1.jpg"");"
HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,"4.6
|
17 Ratings",17 Ratings,MRP ₹899,₹359,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23264268/2023/9/13/5f057cd3-82db-40b5-b16c-3f82dc0a32671694593331394-HRX-by-Hrithik-Roshan-Men-Tshirts-5231694593330978-1.jpg"");"
HRX by Hrithik Roshan,Men Striped Polo Collar T-shirt,"3.7
|
16 Ratings",16 Ratings,MRP ₹999,₹449,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24626540/2023/8/29/1ac6f158-9e83-4b2b-8ff6-cb166d5c23891693308581008-HRX-by-Hrithik-Roshan-Fashion-Charcoal-Melange-Mens-Lifestyl-1.jpg"");"
HRX by Hrithik Roshan,Men Geometric Printed Rapid-Dry Training T-shirt,"4.4
|
11 Ratings",11 Ratings,MRP ₹1499,₹374,(75% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22049780/2023/7/27/2f3e5608-3235-4208-afb4-5607495822e81690441410298-HRX-by-Hrithik-Roshan-Men-Tshirts-2291690441409820-1.jpg"");"
HRX by Hrithik Roshan,Men Brand Logo Printed Running T-shirt,"4.2
|
5 Ratings",5 Ratings,MRP ₹899,₹224,(75% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23014236/2023/8/7/a604cab6-7624-41ea-b3f3-14e4b82181cd1691389328611-HRX-by-Hrithik-Roshan-Men-Tshirts-2921691389328090-1.jpg"");"
HRX by Hrithik Roshan,Typography Printed Hooded Basketball T-shirt,"4.4
|
19 Ratings",19 Ratings,MRP ₹1299,₹389,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21775496/2023/7/4/5384d1fc-f885-472e-b745-ffd3f9d8e9a31688454928985-HRX-by-Hrithik-Roshan-Men-Tshirts-1131688454928494-1.jpg"");"
HRX by Hrithik Roshan,Rapid Dry Colourblocked Polo Collar Racket Sport T-shirt,"4.3
|
9 Ratings",9 Ratings,MRP ₹1499,₹374,(75% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22049810/2023/7/27/a3b79371-bb17-4778-9c72-76a474257bff1690448037216-HRX-by-Hrithik-Roshan-Men-Tshirts-8471690448036855-1.jpg"");"
HRX by Hrithik Roshan,Brand Logo Printed Reflective Detailed Rapid-Dry Running T-shirt,"3.9
|
8 Ratings",8 Ratings,MRP ₹899,₹494,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24082958/2023/12/19/ada4cc09-fccc-44e8-a92a-bc00ee4e69d91702964048340HRXbyHrithikRoshanBrandLogoPrintedReflectiveDetailedRapid-Dr1.jpg"");"
HRX by Hrithik Roshan,Lifestyle Men Grey Typography Printed Bio-Wash Pure Cotton T-shirt,"3.9
|
55 Ratings",55 Ratings,MRP ₹699,₹314,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16938272/2022/7/18/d8433b5e-88d5-4218-8ace-05d9128538921658137342060-HRX-by-Hrithik-Roshan-Men-Tshirts-1181658137341686-1.jpg"");"
HRX by Hrithik Roshan,Racket Sport Rapid-Dry T-shirt,Nil,Nil,MRP ₹1099,₹384,(65% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23984332/2023/10/27/023706d1-4360-4ad5-8ea5-7eb87052e8661698397912910-HRX-by-Hrithik-Roshan-Men-Tshirts-8901698397912436-1.jpg"");"
HRX by Hrithik Roshan,Men Typography Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,Nil,Nil,MRP ₹1299,₹454,(65% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25949670/2023/11/28/c1d3da62-3c99-4ec4-82a2-10e55fc646c71701172158416-HRX-by-Hrithik-Roshan-Typography-print-Black-Lifestyle-Overs-1.jpg"");"
